                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3208,                 3.8313,                 1.1005,                0.51891,                0.69439,                0.66881,                0.38053,                  1.425,                 2.1248,                 1.3433,               0.003326,               0.003326,               0.003326
                      2,                 1.2324,                 2.0045,                 1.0503,                0.85943,                0.85857,                0.91135,                0.51502,                 1.3793,                 1.5235,                 1.2837,              0.0066577,              0.0066577,              0.0066577
                      3,                 1.2266,                 1.6459,                 1.0524,                0.87388,                0.84732,                 0.8957,                 0.4394,                 1.5479,                 1.8836,                 1.3801,              0.0099829,              0.0099829,              0.0099829
                      4,                 1.2114,                 1.4206,                 1.0478,                0.90163,                0.90851,                0.91961,                0.43971,                 1.8653,                 1.4668,                  1.721,               0.009978,               0.009978,               0.009978
                      5,                 1.1724,                  1.192,                 1.0238,                0.92751,                0.92453,                0.94326,                0.55588,                 1.3041,                 1.2177,                 1.2828,               0.009961,               0.009961,               0.009961
                      6,                 1.1411,                 1.0859,                 1.0185,                0.91774,                0.92476,                0.94221,                0.54524,                 1.5457,                 1.2435,                 1.5543,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.1163,                 1.0204,                 1.0129,                 0.9228,                0.94891,                0.95216,                0.56091,                 1.2912,                 1.0332,                 1.2804,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.0814,                0.94119,                0.99999,                0.93148,                0.94137,                0.93627,                0.49705,                  1.457,                0.95592,                 1.4124,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.0589,                0.88479,                0.98158,                 0.9263,                0.93989,                0.94741,                0.56296,                 1.4111,                0.98803,                 1.4719,              0.0098445,              0.0098445,              0.0098445
                     10,                 1.0519,                0.86683,                0.98355,                0.92666,                0.93461,                 0.9447,                0.54903,                 1.3729,                0.94719,                 1.3557,              0.0098035,              0.0098035,              0.0098035
                     11,                 1.0306,                0.83631,                0.97571,                0.88307,                0.88581,                0.88849,                0.44869,                  1.702,                 1.5209,                 1.7012,              0.0097577,              0.0097577,              0.0097577
                     12,                 1.0177,                0.82559,                 0.9735,                0.90851,                0.93658,                0.92958,                0.55078,                  1.322,                 1.0862,                 1.3796,              0.0097074,              0.0097074,              0.0097074
                     13,                 1.0087,                0.80768,                0.97527,                0.91485,                0.93059,                0.93369,                0.54913,                 1.3311,                0.97846,                 1.3745,              0.0096524,              0.0096524,              0.0096524
                     14,                0.98735,                0.78263,                0.96043,                0.92457,                0.93238,                0.93558,                0.53419,                 1.5511,                0.93809,                 1.6583,              0.0095929,              0.0095929,              0.0095929
                     15,                0.97417,                0.77487,                0.96066,                0.91792,                0.92263,                0.93096,                0.53188,                 1.3264,                0.86139,                   1.34,              0.0095289,              0.0095289,              0.0095289
                     16,                0.96912,                0.76348,                0.95685,                0.92876,                0.93386,                 0.9276,                0.50692,                 1.3756,                 1.0107,                 1.4004,              0.0094605,              0.0094605,              0.0094605
                     17,                0.94964,                0.74391,                0.94971,                0.93856,                0.94421,                0.95147,                0.53731,                  1.359,                0.83232,                 1.3244,              0.0093877,              0.0093877,              0.0093877
                     18,                 0.9451,                0.73863,                0.94821,                0.92684,                 0.9417,                0.93976,                0.55841,                 1.3319,                0.90424,                 1.4055,              0.0093107,              0.0093107,              0.0093107
                     19,                0.93449,                0.73969,                0.94795,                0.92484,                0.94486,                0.93503,                0.54633,                 1.3864,                0.89756,                 1.4326,              0.0092294,              0.0092294,              0.0092294
