                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0519,                 5.6708,                 1.3883,                0.54686,                0.74167,                0.70847,                0.54027,                0.91152,                 3.4515,                 1.4238,              0.0033265,              0.0033265,              0.0033265
                      2,                0.85621,                 2.9748,                 1.2143,                0.80514,                0.55288,                0.70727,                0.56325,                0.94526,                  2.726,                 1.4812,              0.0066582,              0.0066582,              0.0066582
                      3,                0.85733,                 2.4291,                 1.2015,                0.55309,                0.57086,                0.56675,                0.39455,                 1.2373,                 5.1057,                 1.7592,              0.0099834,              0.0099834,              0.0099834
                      4,                 0.8616,                 2.0028,                 1.1976,                0.53678,                0.78466,                 0.7249,                0.52741,                 1.0011,                 2.6213,                 1.4881,               0.009978,               0.009978,               0.009978
                      5,                0.79486,                 1.5808,                 1.1494,                0.49858,                0.44773,                 0.5105,                0.35556,                 1.3868,                 4.8621,                 1.8399,               0.009961,               0.009961,               0.009961
                      6,                0.73543,                 1.3634,                 1.1215,                0.63564,                0.62112,                 0.7285,                0.58735,                0.83561,                 3.2478,                 1.3586,              0.0099391,              0.0099391,              0.0099391
                      7,                0.70899,                 1.2529,                 1.1044,                0.54948,                0.70782,                0.74197,                0.55073,                0.91302,                 2.9574,                 1.4601,              0.0099123,              0.0099123,              0.0099123
                      8,                0.66776,                 1.1484,                 1.0803,                0.63123,                0.86998,                  0.796,                0.63962,                0.78929,                 1.5793,                 1.3468,              0.0098808,              0.0098808,              0.0098808
                      9,                0.64223,                 1.0822,                 1.0663,                0.71884,                 0.8354,                0.83257,                0.62695,                0.96915,                 1.7302,                 1.4871,              0.0098445,              0.0098445,              0.0098445
                     10,                0.62039,                 1.0258,                 1.0551,                0.80477,                0.86667,                0.98675,                0.75633,                0.91357,                 1.1642,                 1.4195,              0.0098035,              0.0098035,              0.0098035
                     11,                0.60218,                0.99498,                 1.0469,                0.67167,                 0.7113,                0.69055,                0.49459,                 1.3485,                 2.8375,                 1.9778,              0.0097577,              0.0097577,              0.0097577
                     12,                0.59686,                0.98606,                 1.0497,                0.88839,                0.70283,                0.80828,                0.69226,                0.78346,                 1.5837,                 1.3009,              0.0097074,              0.0097074,              0.0097074
                     13,                0.58067,                0.95647,                 1.0335,                 0.5342,                0.56273,                0.58698,                0.41536,                 1.3932,                 3.2348,                 2.0921,              0.0096524,              0.0096524,              0.0096524
                     14,                0.56722,                0.92956,                 1.0296,                0.84718,                0.67979,                0.80425,                0.65152,                0.86946,                  1.489,                 1.4418,              0.0095929,              0.0095929,              0.0095929
                     15,                0.55942,                0.90783,                 1.0288,                0.72087,                0.67597,                0.77344,                0.59931,                0.81171,                 2.4614,                 1.4029,              0.0095289,              0.0095289,              0.0095289
                     16,                0.55106,                0.89198,                 1.0209,                0.96482,                0.73067,                0.80706,                0.67446,                0.80274,                 1.2694,                 1.3796,              0.0094605,              0.0094605,              0.0094605
                     17,                0.54754,                0.87339,                 1.0215,                0.78174,                0.87781,                  0.937,                0.76896,                0.87108,                   1.47,                 1.4238,              0.0093877,              0.0093877,              0.0093877
                     18,                0.52998,                0.85111,                 1.0142,                0.79353,                0.75464,                0.86563,                0.69625,                0.86669,                 1.7375,                  1.383,              0.0093107,              0.0093107,              0.0093107
                     19,                0.52005,                0.83691,                 1.0088,                0.82743,                0.73874,                0.79938,                0.62943,                0.83875,                 1.5489,                 1.4585,              0.0092294,              0.0092294,              0.0092294
                     20,                0.52281,                0.83282,                 1.0065,                0.80738,                  0.648,                0.85475,                0.69193,                0.87699,                 1.7664,                  1.481,               0.009144,               0.009144,               0.009144
                     21,                0.51726,                0.82465,                 1.0059,                0.78856,                0.82976,                 0.7993,                0.63442,                0.87353,                 1.5156,                 1.4901,              0.0090546,              0.0090546,              0.0090546
                     22,                0.50541,                0.80238,                 0.9974,                0.86739,                0.75187,                0.93205,                0.72503,                0.93794,                  1.491,                 1.5796,              0.0089613,              0.0089613,              0.0089613
                     23,                0.49704,                 0.7985,                0.99491,                0.96309,                0.72071,                0.92042,                0.74819,                0.82314,                 1.1002,                 1.3546,               0.008864,               0.008864,               0.008864
                     24,                0.49573,                0.78915,                0.99413,                0.89354,                0.82488,                 0.8649,                0.72844,                0.81724,                 1.1293,                 1.4169,               0.008763,               0.008763,               0.008763
                     25,                0.48969,                0.78577,                0.98894,                0.61444,                0.77924,                0.71137,                 0.5839,                0.78953,                 2.3791,                 1.3504,              0.0086584,              0.0086584,              0.0086584
                     26,                0.48774,                0.77424,                0.99049,                0.83011,                0.69561,                0.75791,                 0.6418,                0.84773,                 1.8371,                 1.3483,              0.0085502,              0.0085502,              0.0085502
                     27,                0.47712,                0.75798,                0.98454,                0.95018,                0.72712,                0.83253,                0.65243,                0.90893,                 1.2224,                 1.4911,              0.0084385,              0.0084385,              0.0084385
