                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2272,                0.99306,                      1,                 1.7303,             0.00023788,             0.00023788,             0.00023788
                      2,                0.34724,                      1,                      1,                 1.6935,             0.00046435,             0.00046435,             0.00046435
                      3,                 0.2624,                      1,                      1,                 1.7015,             0.00064639,             0.00064639,             0.00064639
                      4,                0.22515,                0.99653,                      1,                  1.696,             0.00056831,             0.00056831,             0.00056831
                      5,                0.19145,                      1,                      1,                  1.694,             0.00046979,             0.00046979,             0.00046979
                      6,                0.17041,                      1,                      1,                 1.6912,             0.00036057,             0.00036057,             0.00036057
                      7,                0.15237,                      1,                      1,                 1.6913,             0.00025135,             0.00025135,             0.00025135
                      8,                0.14199,                      1,                      1,                 1.6937,             0.00015283,             0.00015283,             0.00015283
                      9,                0.13567,                      1,                      1,                 1.6926,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     10,                0.13332,                      1,                      1,                 1.6912,             2.4438e-05,             2.4438e-05,             2.4438e-05
