                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1039,                 4.1989,                 1.7299,                0.23917,                0.17437,                0.14903,                0.04622,                    nan,                    nan,                    nan,             0.00065965,             0.00065965,             0.00065965
                      2,                 2.2891,                 2.3879,                 1.3353,                0.22306,                0.38449,                0.17921,                 0.0632,                    nan,                    nan,                    nan,              0.0013001,              0.0013001,              0.0013001
                      3,                 2.2131,                 2.0235,                 1.3503,                0.27297,                0.45435,                0.22857,                0.07877,                    nan,                    nan,                    nan,              0.0019141,              0.0019141,              0.0019141
                      4,                 2.1807,                 1.8636,                   1.35,                0.26104,                    0.5,                0.24562,                0.08864,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.1821,                 1.8255,                 1.3606,                0.24053,                0.54675,                0.22188,                0.07908,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                  2.119,                 1.7519,                  1.344,                0.25298,                0.52585,                0.23327,                0.08471,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                 2.0934,                 1.7586,                 1.3347,                0.29289,                0.55996,                 0.2985,                0.10724,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.0922,                 1.7038,                 1.3366,                0.29943,                  0.522,                0.28783,                0.10661,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.0577,                 1.7003,                 1.3182,                0.31538,                0.48752,                0.29448,                 0.1052,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.0619,                 1.6757,                 1.3187,                0.32669,                0.49533,                 0.3045,                0.10773,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.0648,                 1.6701,                  1.324,                0.27928,                0.51375,                0.27799,                0.09817,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     12,                 2.0106,                 1.6148,                 1.3149,                0.25392,                 0.4648,                0.20614,                0.07289,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.0353,                 1.6462,                 1.3151,                0.31745,                0.51815,                0.32036,                0.11799,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.0288,                 1.6404,                  1.326,                0.25254,                0.48955,                0.23596,                0.08797,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.9857,                 1.5962,                 1.2894,                0.29273,                 0.4934,                 0.2883,                0.10344,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.983,                 1.6001,                    1.3,                0.35874,                0.49285,                0.34776,                0.12668,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     17,                  1.986,                    1.6,                 1.3013,                0.31967,                0.52695,                 0.3397,                0.12743,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.981,                 1.5822,                 1.2926,                0.35563,                0.48295,                0.33028,                0.11505,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.9447,                  1.568,                 1.2817,                0.37408,                0.50495,                0.37017,                0.13382,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.9488,                 1.5761,                 1.2909,                0.36497,                 0.4736,                0.34535,                0.11676,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.9349,                 1.5813,                 1.2897,                 0.3833,                0.45538,                0.36812,                 0.1323,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     22,                   1.95,                 1.5468,                 1.2838,                0.40691,                 0.4835,                0.38118,                0.13376,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
