                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8016,                0.92063,                0.99603,                 1.8332,             0.00023768,             0.00023768,             0.00023768
                      2,                0.43653,                0.99206,                      1,                 1.7107,             0.00047522,             0.00047522,             0.00047522
                      3,                0.25911,                0.99603,                      1,                 1.6993,              0.0007109,              0.0007109,              0.0007109
                      4,                0.18588,                0.99802,                      1,                 1.6935,             0.00070774,             0.00070774,             0.00070774
                      5,                0.15629,                0.99504,                      1,                 1.6964,              0.0007029,              0.0007029,              0.0007029
                      6,                0.13054,                0.99702,                      1,                 1.6953,              0.0006967,              0.0006967,              0.0006967
                      7,                0.11813,                0.99702,                      1,                 1.6933,             0.00068918,             0.00068918,             0.00068918
                      8,                0.10707,                0.99901,                      1,                 1.6924,             0.00068036,             0.00068036,             0.00068036
                      9,                0.09705,                0.99901,                      1,                 1.6914,             0.00067028,             0.00067028,             0.00067028
                     10,                0.09779,                      1,                      1,                 1.6903,             0.00065898,             0.00065898,             0.00065898
                     11,                0.08552,                0.99802,                      1,                 1.6939,              0.0006465,              0.0006465,              0.0006465
                     12,                0.08722,                0.99901,                      1,                 1.6913,             0.00063289,             0.00063289,             0.00063289
                     13,                0.08658,                      1,                      1,                 1.6896,             0.00061821,             0.00061821,             0.00061821
                     14,                0.07669,                0.99901,                      1,                 1.6916,             0.00060251,             0.00060251,             0.00060251
                     15,                0.07017,                      1,                      1,                 1.6901,             0.00058585,             0.00058585,             0.00058585
                     16,                0.06618,                0.99901,                      1,                 1.6916,             0.00056831,             0.00056831,             0.00056831
                     17,                0.06494,                0.99901,                      1,                  1.691,             0.00054995,             0.00054995,             0.00054995
                     18,                0.06249,                      1,                      1,                 1.6909,             0.00053084,             0.00053084,             0.00053084
                     19,                0.05721,                0.99901,                      1,                 1.6903,             0.00051105,             0.00051105,             0.00051105
                     20,                0.05794,                      1,                      1,                 1.6897,             0.00049068,             0.00049068,             0.00049068
                     21,                0.04919,                      1,                      1,                 1.6895,             0.00046979,             0.00046979,             0.00046979
                     22,                0.05214,                      1,                      1,                 1.6905,             0.00044846,             0.00044846,             0.00044846
                     23,                0.05229,                      1,                      1,                   1.69,              0.0004268,              0.0004268,              0.0004268
                     24,                0.04876,                      1,                      1,                 1.6912,             0.00040487,             0.00040487,             0.00040487
                     25,                0.04499,                      1,                      1,                 1.6917,             0.00038276,             0.00038276,             0.00038276
                     26,                0.04533,                      1,                      1,                   1.69,             0.00036057,             0.00036057,             0.00036057
                     27,                 0.0449,                      1,                      1,                 1.6903,             0.00033838,             0.00033838,             0.00033838
                     28,                0.03837,                      1,                      1,                 1.6899,             0.00031627,             0.00031627,             0.00031627
                     29,                0.03505,                0.99901,                      1,                 1.6904,             0.00029434,             0.00029434,             0.00029434
                     30,                0.03255,                      1,                      1,                 1.6899,             0.00027268,             0.00027268,             0.00027268
                     31,                0.03657,                      1,                      1,                 1.6899,             0.00025135,             0.00025135,             0.00025135
                     32,                0.03626,                0.99901,                      1,                 1.6909,             0.00023046,             0.00023046,             0.00023046
                     33,                 0.0345,                      1,                      1,                 1.6897,             0.00021009,             0.00021009,             0.00021009
                     34,                0.03238,                      1,                      1,                 1.6901,              0.0001903,              0.0001903,              0.0001903
                     35,                0.02966,                      1,                      1,                 1.6898,             0.00017119,             0.00017119,             0.00017119
                     36,                0.03029,                      1,                      1,                 1.6899,             0.00015283,             0.00015283,             0.00015283
                     37,                0.03194,                0.99901,                      1,                 1.6902,             0.00013529,             0.00013529,             0.00013529
                     38,                0.03237,                      1,                      1,                 1.6897,             0.00011863,             0.00011863,             0.00011863
                     39,                0.02527,                      1,                      1,                 1.6896,             0.00010293,             0.00010293,             0.00010293
                     40,                0.02999,                      1,                      1,                 1.6899,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     41,                0.02737,                      1,                      1,                 1.6897,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     42,                0.03289,                      1,                      1,                 1.6897,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     43,                0.02677,                      1,                      1,                 1.6896,             5.0857e-05,             5.0857e-05,             5.0857e-05
                     44,                0.03216,                      1,                      1,                 1.6896,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     45,                0.02569,                      1,                      1,                 1.6897,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     46,                0.03536,                      1,                      1,                 1.6896,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     47,                0.02315,                      1,                      1,                 1.6897,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     48,                0.02254,                      1,                      1,                 1.6897,               1.34e-05,               1.34e-05,               1.34e-05
                     49,                0.02441,                      1,                      1,                 1.6897,             9.9269e-06,             9.9269e-06,             9.9269e-06
                     50,                 0.0239,                      1,                      1,                 1.6898,             7.8374e-06,             7.8374e-06,             7.8374e-06
